ASSET_ID,TAKEN_ON,BEARING_CONDITION,SIMPLE_MISALIGNMENT,SKIN_TEMPERATURE,SPEED,OUTPUT_POWER,VIBRATION_AXIAL,VIBRATION_RADIAL,VIBRATION_TANGENTIAL
3743,11/14/2018 9:34:27 AM,1.0000,,24.0536,1490.8589,193.7313,0.7281,0.3832,0.4598
3743,11/12/2018 7:34:14 AM,1.0000,,27.7431,1494.1457,144.4776,0.5365,0.4598,0.4215
3743,11/19/2018 10:34:56 AM,1.0000,,18.2621,1490.9248,216.7164,0.0000,0.0383,0.0383
3743,11/8/2018 1:02:28 AM,,,,,,,,
3743,11/8/2018 10:02:33 AM,,,,,,,,
3743,11/22/2018 6:02:01 PM,,,,,,,,
3743,11/7/2018 3:01:54 PM,,,,,,,,
3743,11/11/2018 6:03:25 PM,,,,,,,,
3743,11/6/2018 2:01:33 PM,,,,,,,,
3743,11/21/2018 1:01:32 AM,,,,,,,,
3743,11/10/2018 3:34:04 PM,0.0000,,23.6461,1499.7065,13.1343,0.4598,0.3832,0.3832
3743,11/11/2018 9:02:37 PM,,,,,,,,
3743,11/8/2018 3:01:38 PM,,,,,,,,
3743,11/11/2018 10:34:09 AM,1.0000,,23.9678,1498.9642,6.5672,0.4982,0.3449,0.3449
3743,11/8/2018 2:01:44 PM,,,,,,,,
3743,11/23/2018 8:34:24 PM,0.0000,1.0000,23.3672,1499.1660,22.9851,0.6131,0.3832,0.4598
3743,11/17/2018 8:34:44 AM,0.0000,0.0000,20.5894,1491.6156,187.1642,0.0383,0.0383,0.0383
3743,11/12/2018 5:34:17 PM,1.0000,,24.4183,1492.9330,144.4776,0.6131,0.3832,0.4598
3743,11/13/2018 10:34:24 PM,1.0000,,24.5041,1499.7340,9.8507,0.8047,0.3832,0.4215
3743,11/9/2018 9:33:57 AM,1.0000,,23.5281,1491.1459,180.5970,0.6131,0.3449,0.3832
3743,11/11/2018 11:01:39 AM,,,,,,,,
3743,11/6/2018 4:33:41 PM,1.0000,,23.9249,1492.7689,141.1940,0.6514,0.4215,0.4598
3743,11/21/2018 1:35:09 PM,0.0000,,18.4122,1494.3831,137.9104,0.0000,0.0000,0.0383
3743,11/18/2018 1:01:34 PM,,,,,,,,
3743,11/11/2018 5:02:09 AM,,,,,,,,
3743,11/15/2018 12:34:30 AM,0.0000,,24.3646,1499.4854,13.1343,0.4982,0.3449,0.4982
3743,11/19/2018 10:01:35 PM,,,,,,,,
3743,11/22/2018 9:35:14 AM,1.0000,,18.3050,1492.7479,180.5970,0.0000,0.0383,0.0383
3743,11/15/2018 6:01:22 AM,,,,,,,,
